"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","relation.1"
"GSM301358","Circadian time 28 Liver_CT28","GSM301358","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301358/suppl/GSM301358.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301359","Circadian time 29 Liver_CT29","GSM301359","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301359/suppl/GSM301359.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301360","Circadian time 30 Liver_CT30","GSM301360","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301360/suppl/GSM301360.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301361","Circadian time 31 Liver_CT31","GSM301361","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301361/suppl/GSM301361.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301362","Circadian time 32 Liver_CT32","GSM301362","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301362/suppl/GSM301362.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301363","Circadian time 33 Liver_CT33","GSM301363","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301363/suppl/GSM301363.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301364","Circadian time 34 Liver_CT34","GSM301364","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301364/suppl/GSM301364.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301365","Circadian time 35 Liver_CT35","GSM301365","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301365/suppl/GSM301365.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301366","Circadian time 36 Liver_CT36","GSM301366","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301366/suppl/GSM301366.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301367","Circadian time 37 Liver_CT37","GSM301367","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301367/suppl/GSM301367.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301368","Circadian time 38 Liver_CT38","GSM301368","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301368/suppl/GSM301368.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301369","Circadian time 39 Liver_CT39","GSM301369","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301369/suppl/GSM301369.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301370","Circadian time 40 Liver_CT40","GSM301370","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301370/suppl/GSM301370.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301371","Circadian time 41 Liver_CT41","GSM301371","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301371/suppl/GSM301371.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301372","Circadian time 42 Liver_CT42","GSM301372","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301372/suppl/GSM301372.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
"GSM301373","Circadian time 43 Liver_CT43","GSM301373","Public on Oct 03 2008","Jun 27 2008","Aug 28 2018","RNA","1","Liver","Mus musculus","adult, male C57Bl/6J","Mice were house in light-tight chambers and entrained to a 12 hours light, 12 hours dark environment before being released into constant darkness.","total RNA","Mice were euthanized in the dark and liver samples were quickly excised.","biotin","Second-strand cDNA synthesis was followed by in vitro transcription for linear amplification of each transcript and incorporation of biotinylated CTP and UTP.","10090","The cRNA products were fragmented to 200 nucleotides or less, heated at 99 degrees C for 5 min and hybridized for 16 h at 45 degrees C. The microarrays were then washed at low (6X SSPE) and high (100mM MES, 0.1M NaCl) stringency and stained with streptavidin-phycoerythrin. Fluorescence was amplified by adding biotinylated anti-streptavidin and an additional aliquot of streptavidin-phycoerythrin stain.","A confocal scanner was used to collect fluorescence signal at 3um resolution after excitation at 570 nm. The average signal from two sequential scans was calculated for each microarray feature.","n/a","Affymetrix Microarray Suite 5.0 was used to quantitate expression levels for targeted genes; default values provided by Affymetrix were applied to all analysis parameters. Border pixels were removed, and the average intensity of pixels within the 75th percentile was computed for each probe. The average of the lowest 2% of probe intensities occurring in each of 16 microarray sectors was set as background and subtracted from all features in that sector. Probe pairs were scored positive or negative for detection of the targeted sequence by comparing signals from the perfect match and mismatch probe features.","GPL1261","Michael,,Hughes","michael.evan.hughes@gmail.com","UPenn","421 Curie Bvd, Brb 835","Philadelphia","PA","19104","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM301nnn/GSM301373/suppl/GSM301373.CEL.gz","45101","Reanalyzed by: GSE28622","Reanalyzed by: GSE119085"
